yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
319660.KQ,319660,피에스케이,52082,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,183200.0,67877.75,169.8969839159371,211500.0,-13.380614657210401,55.253164556957124,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,-0.73,10.42,23.99,40.0,10.81,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.37,25.1,680.0,196.97,OpenDART,3.18,5.0,True,,,,,,,,,,22.31,2025.0,11011.0,5.0,OpenDART,91.16,11.8,8.97,21,-56.12,-8.39,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,16,0,12,0,3,5,36,D,11
000250.KQ,000250,삼천당제약,49847,중견기업부,"하메론, 아토로우",KOSDAQ,주권,KRX,211500.0,376849.5,-43.87679962425318,1184000.0,-82.13682432432432,35.635359116019345,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,1036.5,7.44,512.61,17.54,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.02,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,,,,,,,,,,,2025.0,11011.0,2.0,OpenDART,108.15,6.76,1.96,7,373.98,159.47,,,,,의약품 제조업,의약품 제조업,2026-07-03,4.48,0,0,0,0,0,0,5,1,6,D,12
141080.KQ,141080,리가켐바이오,49643,기술성장기업부,ADC 신약연구개발,KOSDAQ,주권,KRX,134100.0,169650.0,-20.954907161803714,213500.0,-37.18969555035129,50.40946314831024,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,483.55,9.44,-129.0,11.81,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,-69.68,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-03,4.48,0,0,0,0,0,0,5,5,10,D,13
222800.KQ,222800,심텍,48291,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,130600.0,67387.0,93.80592695920578,157300.0,-16.973935155753335,47.96416938110202,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,,13.49,43.0,9.85,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-33.13,5.0,True,,,,,,,,,,,2025.0,11011.0,5.0,OpenDART,49.52,5.95,5.05,7,-13.17,65.55,OpenDART,2025.0,CFS,11011,전자부품 제조업,전자부품 제조업,2026-07-03,4.48,0,0,0,0,0,0,5,5,10,D,14
039030.KQ,039030,이오테크닉스,47861,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,394500.0,357581.5,10.324499449775786,612000.0,-35.53921568627451,28.854961832059843,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,,,,,,,,,1.31,24.98,,,3.0,OpenDART,91.16,11.8,8.97,21,-51.73,-35.76,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,6,10,12,10,3,5,46,C,15
087010.KQ,087010,펩트론,41551,기술성장기업부,약효지속성 의약품 및 펩타이드 소재,KOSDAQ,주권,KRX,183000.0,270608.0,-32.374504818778455,386000.0,-52.59067357512953,36.88016528925353,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,,5.34,,31.06,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,,,,,,,,,,,97.08,22.77,-33.24,8,,36.41,OpenDART,2025.0,OFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-03,4.48,0,0,0,0,0,0,5,3,8,D,16
403870.KQ,403870,HPSP,39421,우량기업부,고압 수소 어닐링 장비,KOSDAQ,주권,KRX,48500.0,41119.5,17.948905020732255,83500.0,-41.91616766467065,19.93127147765844,daily_close,NXT 미확인,2026-07-03 18:24 KST,,,-16.35,35.96,31.72,35.0,13.93,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.03,55.66,500.0,404.37,OpenDART,49.38,4.0,True,,,,,,,,,,-6.21,2025.0,11011.0,4.0,OpenDART,91.16,11.8,8.97,21,-61.61,18.05,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,20,0,0,0,1,5,26,D,17
084370.KQ,084370,유진테크,39278,우량기업부,실리콘질화막증착용LP-CVD,KOSDAQ,주권,KRX,173900.0,108496.75,60.28129874858003,206500.0,-15.786924939467312,44.999999999996156,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,-32.89,30.03,36.77,51.0,9.75,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.13,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,,,,,,,,,,31.84,2025.0,11011.0,5.0,OpenDART,91.16,11.8,8.97,21,-44.05,-17.37,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,6,0,15,0,5,5,31,D,18
440110.KQ,440110,파두,38928,기술성장기업부,SSD 컨트롤러,KOSDAQ,주권,KRX,79600.0,49092.45,62.143058657695846,128300.0,-37.95791114575214,35.59113300491997,daily_close,NXT 미확인,2026-07-03 18:24 KST,,,,,27.45,,123.65,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,,,,,,,,,,,,26.33,29.39,-19.3,5,,320.72,OpenDART,2025.0,CFS,11011,반도체 제조업,반도체 제조업,2026-07-03,4.48,0,0,0,0,0,0,5,5,10,D,19
214370.KQ,214370,케어젠,37063,벤처기업부,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품",KOSDAQ,주권,KRX,68800.0,84889.5,-18.953463031352523,150100.0,-54.16389073950699,43.21428571427491,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,-37.87,92.25,3.65,175.17,17.37,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,0.64,106.3,437.0,213.57,OpenDART,-45.5,4.0,True,,,,,,,,,,-29.05,2025.0,11011.0,4.0,OpenDART,97.08,22.77,-33.24,8,80.44,-23.72,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-03,4.48,0,0,6,0,0,0,5,3,14,D,20
347850.KQ,347850,디앤디파마텍,36019,기술성장기업부,대사성질환 치료제 등,KOSDAQ,주권,KRX,81700.0,77820.62,4.9850283896478915,111200.0,-26.52877697841727,49.59016393441912,daily_close,NXT 미확인,2026-07-03 18:24 KST,,,,,6.89,,54.29,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,39.38,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-03,4.48,0,0,0,0,0,0,5,5,10,D,21
214450.KQ,214450,파마리서치,35168,우량기업부,재생의약품,KOSDAQ,주권,KRX,342000.0,403077.5,-15.15279319733798,711000.0,-51.89873417721519,62.54180602006103,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,65.07,24.5,8.1,20.0,6.08,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,1.08,25.9,3700.0,427.91,OpenDART,57.58,5.0,False,,,,,,,,,0.31,37.82,2025.0,11011.0,5.0,OpenDART,21.42,7.81,-4.21,3,-6.63,-22.15,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-03,4.48,4,0,20,20,15,10,3,3,75,A,22
095340.KQ,095340,ISC,34720,우량기업부,반도체테스트소켓,KOSDAQ,주권,KRX,165700.0,152562.0,8.611580865484196,271000.0,-38.85608856088561,28.338430173288515,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,2.68,60.46,24.79,40.0,6.44,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,0.51,31.0,850.0,173.95,OpenDART,43.58,5.0,True,,,,,,,,,14.93,91.78,2025.0,11011.0,5.0,OpenDART,21.95,4.03,13.58,2,,,,,,,기계장비 및 관련 물품 도매업,기계장비 및 관련 물품 도매업,2026-07-03,4.48,0,0,12,0,15,2,3,5,37,D,23
095610.KQ,095610,테스,34131,우량기업부,반도체장비(화학증착장비),KOSDAQ,주권,KRX,178500.0,73411.5,143.14991520402117,213000.0,-16.19718309859155,50.09052504525828,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,33.69,92.12,9.44,42.0,9.21,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,0.48,26.4,850.0,150.74,OpenDART,11.0,5.0,True,,,,,,,,,1.25,504.31,2025.0,11011.0,5.0,OpenDART,91.16,11.8,8.97,21,-53.93,-21.95,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,16,10,15,10,5,5,61,B,24
108490.KQ,108490,로보티즈,32914,기술성장기업부,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼",KOSDAQ,주권,KRX,231000.0,251392.01,-8.111638074734358,405000.0,-42.96296296296296,18.99109792284709,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,691.83,7.25,440.0,10.33,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,,,,,,,,,,,,,,,,,,,,,,,91.16,11.8,8.97,21,382.67,-12.46,OpenDART,2025.0,CFS,11011,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,0,0,0,0,1,5,6,D,25
310210.KQ,310210,보로노이,32605,기술성장기업부,표적치료제,KOSDAQ,주권,KRX,178200.0,232644.5,-23.402444502234097,363500.0,-50.97661623108666,44.01544401544004,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,,6.53,,37.57,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,-3.54,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-03,4.48,0,0,0,0,0,0,5,3,8,D,26
178320.KQ,178320,서진시스템,31889,중견기업부,"통신장비부품,휴대폰부품(메탈케이스 등)",KOSDAQ,주권,KRX,50900.0,39944.75,27.426007172406884,80800.0,-37.004950495049506,18.54838709676821,daily_close,NXT 미확인,2026-07-03 18:24 KST,,,,15.93,17.17,,4.05,-12.63,212.62,-12.15,-98.99,,-,10663.0,11.0,-1024.0,0.1,-9.6,-397.57,-3355.74,320.69,15686.76,-15366.07,,,,,,,,,,,,,,,,,,,,,,,,4.05,-12.63,1,,,OpenDART,2025.0,CFS,11011,기타 전기장비 제조업,기타 전기장비 제조업,2026-07-03,4.48,0,0,0,0,0,0,1,5,6,D,27
145020.KQ,145020,휴젤,31252,우량기업부,"보툴리눔톡신, 필러",KOSDAQ,주권,KRX,257000.0,256430.0,0.22228288421791526,388000.0,-33.76288659793815,52.30263157894255,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,3.3,21.91,57.97,19.0,2.95,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,,,,,,,,,,,,,,,,,5.76,22.87,,,,,97.08,22.77,-33.24,8,-80.43,-87.04,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-03,4.48,4,3,16,0,12,2,5,5,47,C,28
080220.KQ,080220,제주반도체,31239,우량기업부,"모바일용 LP DDR SDRAM, CRAM, SRAM",KOSDAQ,주권,KRX,91500.0,44077.85,107.58725754545651,134000.0,-31.716417910447763,43.81395348836638,daily_close,NXT 미확인,2026-07-03 18:24 KST,,,102.29,22.3,1.59,31.42,11.4,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,3022.0,359.0,395.0,11.88,13.07,255.55,228.3,772.3,1088.84,-316.54,,,,,,,,,,,,,,,,,0.31,53.63,,,,,26.33,29.39,-19.3,5,19.33,-61.21,OpenDART,2025.0,CFS,11011,반도체 제조업,반도체 제조업,2026-07-03,4.48,0,0,16,20,15,10,5,5,71,A,29
031980.KQ,031980,피에스케이홀딩스,30510,우량기업부,"Descum, Reflow",KOSDAQ,주권,KRX,143700.0,80629.5,78.22261083102339,166500.0,-13.693693693693692,53.22957198442999,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,-4.32,11.02,6.77,27.0,7.04,19.55,15.5,-3.57,-17.06,46.54,1980 -> 4444 -> 4252,2078.0,734.0,917.0,35.32,44.13,814.17,792.28,1827.79,785.01,1042.78,0.75,25.4,1080.0,232.87,OpenDART,39.25,4.0,False,,,,,,,,,,46.54,2025.0,11011.0,4.0,OpenDART,91.16,11.8,8.97,21,-70.38,-40.34,,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-03,4.48,0,0,16,0,15,0,5,5,41,C,30
214150.KQ,214150,클래시스,30301,우량기업부,미용의료기기,KOSDAQ,주권,KRX,46400.0,54206.75,-14.401804203351059,75600.0,-38.62433862433862,56.54320987650412,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,32.76,30.47,70.5,18.0,5.99,26.21,27.73,38.66,39.38,32.57,1146 -> 1517 -> 2014,3368.0,1706.0,1320.0,50.65,39.19,1639.36,1446.82,375.21,1529.75,-1154.54,2.16,49.4,1000.0,651.53,OpenDART,97.29,5.0,False,,,,,,,,,0.55,32.57,2025.0,11011.0,5.0,OpenDART,22.0,13.09,19.41,3,-18.18,-54.24,,,,,의료용 기기 제조업,의료용 기기 제조업,2026-07-03,4.48,8,0,20,20,15,10,3,5,81,A,31
226950.KQ,226950,올릭스,29792,기술성장기업부,siRNA 신약 개발,KOSDAQ,주권,KRX,148700.0,140681.0,5.700130081531976,207000.0,-28.164251207729468,60.1568068424744,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,,,8.46,,25.72,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,,,,,,,,,,,,,,,,,,,,,,,229.93,38.95,-26.84,8,,-33.97,OpenDART,2025.0,CFS,11011,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-03,4.48,0,0,0,0,0,0,3,5,8,D,32
131290.KQ,131290,티에스이,28427,우량기업부,"Probe Card, Test Interface Board, OLED Test Equipment, Test Socket",KOSDAQ,주권,KRX,253000.0,107917.0,134.43943030291797,276000.0,-8.333333333333332,47.959183673465965,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,-10.0,1517.12,10.87,42.38,7.17,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,485.7,-22.4,758.17,1434.62,-676.45,0.18,12.4,450.0,49.78,OpenDART,-3.45,4.0,True,,,,,,,,,,1672.52,2025.0,11011.0,4.0,OpenDART,39.19,7.64,13.56,2,,,,,,,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",2026-07-03,4.48,0,0,12,0,15,0,5,0,32,D,33
064760.KQ,064760,티씨케이,27501,우량기업부,반도체 제조공정용 고순도 흑연제품,KOSDAQ,주권,KRX,246000.0,209152.5,17.617527880374368,348500.0,-29.411764705882355,35.55555555555239,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,-2.77,18.81,67.26,29.0,6.09,13.5,9.3,9.29,3.97,6.91,5246 -> 6167 -> 5996,3013.0,839.0,699.0,27.85,23.2,541.11,495.32,362.27,483.14,-45.27,0.58,22.9,1430.0,159.87,OpenDART,0.0,5.0,True,,,,,,,,,,6.91,2025.0,11011.0,5.0,OpenDART,24.52,3.68,9.4,2,,,,,,,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,2026-07-03,4.48,0,0,12,0,4,0,5,5,26,D,34
237690.KQ,237690,에스티팜,27280,우량기업부,원료의약품,KOSDAQ,주권,KRX,130600.0,126355.0,3.3595821297139015,168700.0,-22.58446947243628,55.4294975688691,nxt_web_latest,NXT 체결가,2026-07-03 18:16 KST,,,52.02,53.05,12.63,40.0,4.48,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,139.89,-332.97,305.46,1895.63,-1590.17,0.38,18.3,500.0,100.76,OpenDART,0.0,5.0,False,,,,,,,,,0.77,61.23,2025.0,11011.0,5.0,OpenDART,108.15,6.76,1.96,7,-63.01,-33.73,,,,,의약품 제조업,의약품 제조업,2026-07-03,4.48,0,0,12,16,15,10,3,5,61,B,35
