yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,214.72000122070312,213.1775001525879,208.45299962361653,201.96558316548666,195.28750022888184,9.950714187567513,235.74000549316406,-8.916604641833043,59.47911760593441,3.81,1.0,daily_close,일봉 종가,2026-08-22 11:35 KST,215.38,0.30737647892358244,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.47,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,2026-08-22,0.14,102.92,40.45,10.68,35.48,23,21,22,22,-25.08,129.24,,,,,,,2026-08-21,4.74,0,0,20,20,15,10,3,0,68,B,1
GOOGL,GOOGL,알파벳A,4490.91,344.82000732421875,348.3969985961914,354.68016611735027,346.22741622924804,333.0252995300293,3.5416852145570674,402.6199951171875,-14.355965549139047,25.59955523292652,7.84,-11.32,daily_close,일봉 종가,2026-08-22 11:35 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,24.14,6.53,Finnhub,yfinance,2026-08-22,0.06,36.52,18.89,4.65,23.92,7,6,6,6,-9.5,45.7,,,,,,,2026-08-21,4.74,8,0,20,20,15,10,3,5,81,A,2
GOOG,GOOG,알파벳C,4483.96,341.75,346.81850280761716,352.8144999186198,344.26166610717775,332.0641993713379,2.916845792771156,399.0400085449219,-14.356958530004757,20.63098425313096,7.1,-11.19,daily_close,일봉 종가,2026-08-22 11:35 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,23.42,6.53,Finnhub,yfinance,2026-08-21,0.06,36.52,18.02,4.65,23.92,7,6,6,6,4.52,52.17,,,,,,,2026-08-21,4.74,4,0,20,20,15,10,1,5,75,A,3
AAPL,AAPL,애플,4376.98,309.3500061035156,314.33849945068357,309.48300018310545,289.97541631062825,281.5015495300293,9.892825321913751,340.0799865722656,-9.036103764436017,56.78024649563762,-7.11,-0.48,daily_close,일봉 종가,2026-08-22 11:35 KST,,,28.7,30.44,66.29,34.966743,41.42799,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.35,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.87,41.0,1.85,322.28,400.0,215.0,4.18,1.69,Finnhub,yfinance,2026-08-22,1.22,10.32,40.45,10.68,35.48,23,21,22,22,-13.56,287.9,,,,,,,2026-08-21,4.74,0,0,20,10,8,8,3,0,49,C,4
MSFT,MSFT,마이크로소프트,2818.35,483.239990234375,473.0919982910156,420.93099721272785,411.31074854532875,431.3127993774414,12.039334546038393,542.0700073242188,-10.852844889951049,46.976551300710156,26.6,17.1,daily_close,일봉 종가,2026-08-22 11:35 KST,483.61,0.07656853180664044,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.75,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,17.86,6.42,Finnhub,yfinance,2026-08-22,0.85,23.34,40.45,11.14,35.92,23,21,22,22,-33.7,-27.17,,,,,,,2026-08-21,4.74,0,0,20,16,12,10,5,5,68,B,5
AMZN,AMZN,아마존,2628.93,258.6300048828125,261.37849884033204,250.43516642252604,244.72608337402343,238.3259999847412,8.519425030995889,284.0199890136719,-8.939506060482657,24.523357335927116,11.43,-4.86,daily_close,일봉 종가,2026-08-22 11:35 KST,259.55,0.3557186327256844,242.3,41.19,67.81,22.83119,5.552037,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.65,61.0,0.0,321.95,400.0,207.0,24.48,5.24,Finnhub,yfinance,2026-08-19,0.09,57.24,23.64,16.06,38.64,8,7,4,4,-3.42,-65.43,,,,,,,2026-08-21,4.74,4,0,20,20,15,10,1,0,70,A,6
AVGO,AVGO,브로드컴,1957.03,368.45001220703125,396.0650009155273,394.7460006713867,383.6763341267904,369.1979504394531,-0.2025846111907162,481.57000732421875,-23.489833959079817,39.22226675430418,-3.53,-12.66,daily_close,일봉 종가,2026-08-22 11:35 KST,,,85.4,63.62,80.06,69.45743,22.574606,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.71,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.69,45.0,-0.16,527.88,675.0,215.88,43.27,0.51,Finnhub,yfinance,2026-08-18,0.81,20.26,34.97,10.68,35.48,23,21,22,22,98.62,111.37,,,,,,,2026-08-21,4.74,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,362.8599853515625,328.1419967651367,373.8459981282552,382.6902491251628,403.3203997802734,-10.031829396865003,489.8800048828125,-25.928802618027923,72.70602347497709,15.92,-17.6,daily_close,일봉 종가,2026-08-22 11:35 KST,363.93,0.29488361672087005,-3.0,176.51,43.11,305.33026,15.1311655,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.64,40.0,0.85,396.62,600.0,125.0,9.3,-7.04,Finnhub,yfinance,2026-08-22,,-49.94,22.83,11.27,45.9,8,7,4,4,1237.41,34.26,,,,,,,2026-08-21,4.74,0,0,0,0,0,0,1,5,6,D,8
META,META,메타 플랫폼스,1465.23,549.9000244140625,576.4844970703125,594.9994944254557,608.8417470296224,624.1281982421875,-11.893097289496513,790.0,-30.392401972903482,31.289449185041164,-7.61,-13.44,daily_close,일봉 종가,2026-08-22 11:35 KST,,,-13.4,22.36,79.0,22.323452,5.802965,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.38,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,-1.41,756.95,1000.0,580.0,37.65,0.38,Finnhub,yfinance,2026-08-21,,25.69,17.97,5.14,33.34,7,6,6,6,24.23,12.9,,,,,,,2026-08-21,4.74,4,0,20,0,15,0,3,5,47,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,495.82000732421875,509.78999481201174,496.8989990234375,488.50499928792317,492.1238494873047,0.7510625304513695,539.7999877929688,-8.147458588979774,36.668693024062776,0.18,3.31,daily_close,일봉 종가,2026-08-22 11:35 KST,,,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,4.94,-3.3,Finnhub,yfinance,2026-08-19,0.12,-16.27,20.83,3.37,16.8,17,16,16,16,-29.22,-99.97,,,,,,,2026-08-21,4.74,8,10,12,20,0,10,5,0,65,B,10
